player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,assumed_buy_price_eur,assumed_sell_price_eur,expected_profit_eur,expected_roi_pct,risk_adjusted_profit_eur,risk_adjusted_roi_pct,positive_roi_flag,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Unai Gómez,Unai Gómez,Athletic Club,LaLiga,2023-2024,MID,20.386036960985628,875,1000000.0,3857107.082643215,1000000.0,2428553.5413216073,1428553.5413216073,142.85535413216073,1052566.1856543233,105.25661856543233,True,1.604663100775532,92.91707003213963,73.68055555555557,100.0,target_scouting,1.0,exact_age_club_validated
Javi Rodríguez,Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,6869514.554108109,3000000.0,4934757.277054055,1934757.2770540547,64.49190923513515,1671952.746920879,55.731758230695974,True,0.997218770862496,100.0,86.41666666666667,99.98819283864373,target_scouting,0.85,exact_age_validated
Yassin Belkhdim,Yassin Belkhdim,Angers,Ligue 1,2024-2025,MID,22.64476386036961,1523,500000.0,2637953.539268849,500000.0,1568976.7696344245,1068976.7696344245,213.7953539268849,866197.8151946055,173.2395630389211,True,1.9695623676788188,63.89222691416951,81.03055555555557,98.06645565534534,target_scouting,0.85,exact_age_validated
João Ferreira,João Ferreira,Udinese,Serie A,2023-2024,DEF,22.55441478439425,1822,1000000.0,6927205.2015274735,1000000.0,3963602.6007637368,2963602.6007637368,296.36026007637366,2610439.9575060587,261.04399575060586,True,2.286783530869604,39.33613975470298,88.08333333333334,96.96818779223,target_scouting,0.85,exact_age_validated
Kévin Danois,Kévin Danois,Auxerre,Ligue 1,2024-2025,MID,20.27652292950034,1460,500000.0,2401081.935034661,500000.0,1450540.9675173305,950540.9675173305,190.1081935034661,758584.4999103587,151.71689998207174,True,1.8599597305445368,63.89222691416951,79.80555555555557,95.84261924188178,target_scouting,0.85,exact_age_validated
Lamine Camara,Lamine Camara,Metz,Ligue 1,2023-2024,MID,19.789185489390828,2255,800000.0,3558782.322228944,800000.0,2179391.161114472,1379391.161114472,172.423895139309,1192023.8617297562,149.00298271621952,True,1.7708360844589834,55.3144990596991,86.41666666666667,94.55344219904408,target_scouting,0.85,exact_age_validated
Murillo,Murillo,Nottingham Forest,Premier League,2023-2024,DEF,21.05681040383299,2789,3500000.0,7784997.172097425,3500000.0,5642498.586048713,2142498.586048713,61.214245315677516,1963957.0372113206,56.113058206037735,True,0.9633821662705838,79.28563559331063,91.66666666666669,94.26383524246314,target_scouting,1.0,exact_age_club_validated
Christantus Uche,Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,8135741.9569352595,5000000.0,6567870.97846763,1567870.9784676302,31.357419569352608,1354901.8372257773,27.098036744515547,True,0.5992130127391044,100.0,86.41666666666667,94.10901650246043,target_scouting,0.85,exact_age_validated
Javi López,Javi López,Alavés,LaLiga,2023-2024,DEF,21.5523613963039,2386,1000000.0,11866893.237267008,1000000.0,6433446.618633504,5433446.618633504,543.3446618633504,4941202.228540637,494.1202228540637,True,2.3196196230899084,25.00181297571708,90.9404761904762,93.4547824327198,target_scouting,0.85,exact_age_validated
Mario Martín,Mario Martín,Valladolid,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,4901990.965278227,500000.0,2700995.4826391134,2200995.4826391134,440.1990965278227,1916455.6777446019,383.29113554892035,True,2.3196196230899084,29.60592242531749,87.07222222222224,93.28225491004224,target_scouting,0.85,exact_age_validated
Tiago Araújo,Tiago Araújo,Estoril,Liga Portugal,2023-2024,DEF,22.50787132101301,2253,600000.0,3816800.255023187,600000.0,2208400.1275115935,1608400.1275115935,268.0666879185989,1456942.4488375853,242.8237414729309,True,2.1875088532671545,26.141697109770465,90.58333333333334,91.7571022555283,target_scouting,0.85,exact_age_validated
Lasse Rosenboom,Lasse Rosenboom,Holstein Kiel,Bundesliga,2024-2025,MID,22.91854893908282,1734,500000.0,4800040.915959416,500000.0,2650020.457979708,2150020.457979708,430.0040915959416,2050761.180169645,410.152236033929,True,2.3196196230899084,10.994299876987418,95.38333333333334,90.36259147066542,target_scouting,1.0,exact_age_club_validated
Óscar Aranda,Óscar Aranda,Famalicão,Liga Portugal,2024-2025,MID,22.444900752908968,2599,1500000.0,5963493.350696075,1500000.0,3731746.6753480374,2231746.6753480374,148.78311168986914,1965796.8632023965,131.0531242134931,True,1.639930504241193,44.76041705536112,88.08333333333334,89.46002175376991,target_scouting,0.85,exact_age_validated
Tomáš Suslov,Tomas Suslov,Hellas Verona,Serie A,2023-2024,MID,21.53593429158111,2092,2000000.0,19102160.465557605,2000000.0,10551080.232778803,8551080.232778803,427.55401163894015,8102148.520557916,405.1074260278958,True,2.3196196230899084,9.113049802511323,94.75,89.3399899415865,target_scouting,0.85,exact_age_validated
Kobbie Mainoo,Kobbie Mainoo,Manchester Utd,Premier League,2023-2024,MID,18.666666666666668,1924,6000000.0,10666259.50541498,6000000.0,8333129.75270749,2333129.7527074898,38.885495878458165,2016212.961298056,33.6035493549676,True,0.702307038861566,82.89124705606373,86.41666666666667,89.17580217771655,target_scouting,0.85,exact_age_validated
Jorge Herrando,Jorge Herrando,Osasuna,LaLiga,2023-2024,DEF,22.62012320328542,1644,600000.0,3374956.522555456,600000.0,1987478.261277728,1387478.261277728,231.24637687962135,1191612.580060689,198.6020966767815,True,2.044185733006209,27.08232214700851,85.88333333333334,87.67436371741357,target_scouting,0.85,exact_age_validated
Rabby Nzingoula,Rabby Nzingoula,Montpellier,Ligue 1,2024-2025,MID,18.86652977412731,1689,1500000.0,3375378.418488724,1500000.0,2437689.209244362,937689.2092443621,62.51261394962414,839309.9830411412,55.95399886940942,True,0.9769035142924256,63.89231250162032,89.50833333333334,87.58916102574213,target_scouting,1.0,exact_age_club_validated
Mohamed Bamba,Mohamed Bamba,Lorient,Ligue 1,2023-2024,ATT,21.752224503764545,1138,500000.0,4233200.989715051,500000.0,2366600.4948575255,1866600.4948575255,373.3200989715051,1403890.9721878434,280.7781944375687,True,2.3196196230899084,29.60592242531749,75.21111111111112,87.42594875775379,target_scouting,0.85,exact_age_validated
Kike Salas,Kike Salas,Sevilla,LaLiga,2023-2024,DEF,21.66461327857632,1605,2000000.0,9994744.87171942,2000000.0,5997372.43585971,3997372.43585971,199.8686217929855,3369451.849060081,168.47259245300407,True,1.906377687897117,33.25677897678998,84.29166666666667,87.18281394672697,target_scouting,0.85,exact_age_validated
Iker Muñoz,Iker Muñoz,Osasuna,LaLiga,2023-2024,MID,21.10335386721424,1854,5000000.0,5389067.918449643,5000000.0,5194533.959224822,194533.959224822,3.89067918449644,168109.7630967837,3.3621952619356734,True,0.1193787856536627,99.99998899808593,86.41666666666667,87.02109973752431,target_scouting,0.85,exact_age_validated
Ilario Monterisi,Ilario Monterisi,Frosinone,Serie A,2023-2024,DEF,21.80971937029432,1469,1500000.0,3630492.964815065,1500000.0,2565246.4824075326,1065246.4824075326,71.01643216050218,907915.4949919535,60.52769966613023,True,1.0617825345747365,63.89231250162032,85.23055555555557,86.7308483688561,target_scouting,1.0,exact_age_club_validated
Jesus Rodríguez,Jesús Rodríguez,Real Betis,LaLiga,2024-2025,MID,18.89664613278576,1111,700000.0,5937091.945530024,700000.0,3318545.972765012,2618545.972765012,374.0779961092874,1990604.101018336,284.37201443119085,True,2.3196196230899084,25.47546039762014,76.01944444444445,86.26640407880855,target_scouting,0.85,exact_age_validated
Eren Dinkçi,Eren Dinkçi,Heidenheim,Bundesliga,2023-2024,MID,21.84531143052704,2650,3000000.0,9922723.61955824,3000000.0,6461361.80977912,3461361.8097791197,115.37872699263731,2991193.4972841227,99.70644990947076,True,1.42560846692068,45.70105279109474,86.41666666666667,85.82619892902014,target_scouting,0.85,exact_age_validated
Jarell Quansah,Jarell Quansah,Liverpool,Premier League,2023-2024,DEF,20.692676249144423,1190,2000000.0,6195650.056587502,2000000.0,4097825.028293751,2097825.028293751,104.89125141468756,1564045.1044278971,78.20225522139485,True,1.3492872547813937,63.89232320009983,74.55555555555557,85.70707760611289,target_scouting,0.85,exact_age_validated
Jakob Breum,Jakob Breum,Go Ahead Eagles,Eredivisie,2024-2025,MID,20.908966461327857,2059,1500000.0,5755744.74438899,1500000.0,3627872.372194495,2127872.372194495,141.85815814629967,2039211.0233530581,135.94740155687055,True,1.598623902613845,26.14170513363474,95.83333333333334,85.65047602442323,target_scouting,1.0,exact_age_club_validated
Carlos Dominguez,Carlos Domínguez,Celta Vigo,LaLiga,2023-2024,DEF,22.858316221765914,1584,700000.0,7838272.314550837,700000.0,4269136.157275418,3569136.157275418,509.8765938964883,3150060.086808663,450.00858382980897,True,2.3196196230899084,7.286191099360021,88.25833333333334,85.44541920930082,target_scouting,0.85,exact_age_validated
