dataset,player_name_fbref,player_name_tm,player_id_tm,club,league,position,position_group,age,season,season_start_year,market_value_eur,log_market_value_eur,opportunity_score,player_name,name,club_actual,risk_score,risk_level,contract_opportunity_score,recruitment_contract_score
data/outputs/04_ml_test_predictions.csv,Nicolò Savona,,708072.0,Juventus,Serie A,,DEF,21.58521560574949,2024-2025,,7000000.0,15.761420707019589,,,,,,,,
data/outputs/04_ml_test_predictions.parquet,Raúl Asencio,,935245.0,Real Madrid,LaLiga,,DEF,21.869952087611225,2024-2025,,7500000.0,15.830413578506539,,,,,,,,
data/outputs/04_ml_test_predictions.parquet,Javi Rodríguez,,1076815.0,Celta Vigo,LaLiga,,DEF,21.29226557152635,2024-2025,,3000000.0,14.914122846632385,,,,,,,,
data/outputs/04_ml_test_predictions.parquet,Nicolò Savona,,708072.0,Juventus,Serie A,,DEF,21.585215605749486,2024-2025,,7000000.0,15.761420707019587,,,,,,,,
data/outputs/04_ml_undervalued_ranking.csv,Javi Rodríguez,,1076815.0,Celta Vigo,LaLiga,,DEF,21.29226557152635,2024-2025,,3000000.0,14.914122846632385,,,,,,,,
data/processed/fbref_features.parquet,,,,Real Madrid,LaLiga,DF,DEF,21.0,2024-2025,2024.0,,,,Raúl Asencio,,,,,,
data/processed/fbref_features.parquet,,,,Celta Vigo,LaLiga,DF,DEF,21.0,2024-2025,2024.0,,,,Javi Rodríguez,,,,,,
data/processed/fbref_features.parquet,,,,Real Madrid,LaLiga,DF,DEF,22.0,2025-2026,2025.0,,,,Raúl Asencio,,,,,,
data/processed/fbref_features.parquet,,,,Celta Vigo,LaLiga,DF,DEF,22.0,2025-2026,2025.0,,,,Javi Rodríguez,,,,,,
data/processed/fbref_features.parquet,,,,Nottingham Forest,Premier League,DF,DEF,22.0,2025-2026,2025.0,,,,Nicolò Savona,,,,,,
data/processed/fbref_features.parquet,,,,Juventus,Serie A,DF,DEF,21.0,2024-2025,2024.0,,,,Nicolò Savona,,,,,,
data/processed/fbref_features_v13a.parquet,,,,Real Madrid,LaLiga,DF,DEF,21.0,2024-2025,2024.0,,,,Raúl Asencio,,,,,,
data/processed/fbref_features_v13a.parquet,,,,Celta Vigo,LaLiga,DF,DEF,21.0,2024-2025,2024.0,,,,Javi Rodríguez,,,,,,
data/processed/fbref_features_v13a.parquet,,,,Real Madrid,LaLiga,DF,DEF,22.0,2025-2026,2025.0,,,,Raúl Asencio,,,,,,
data/processed/fbref_features_v13a.parquet,,,,Celta Vigo,LaLiga,DF,DEF,22.0,2025-2026,2025.0,,,,Javi Rodríguez,,,,,,
data/processed/fbref_features_v13a.parquet,,,,Nottingham Forest,Premier League,DF,DEF,22.0,2025-2026,2025.0,,,,Nicolò Savona,,,,,,
data/processed/fbref_features_v13a.parquet,,,,Juventus,Serie A,DF,DEF,21.0,2024-2025,2024.0,,,,Nicolò Savona,,,,,,
data/processed/fbref_features_v13a.parquet,,,,Alcorcón,Spanish Segunda División,FW,ATT,23.0,2021-2022,2021.0,,,,Raúl Asencio,,,,,,
data/processed/player_season_modeling.parquet,Nicolò Savona,Nicolò Savona,708072.0,Nottingham Forest,Premier League,DF,DEF,22.72689938398357,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
data/processed/player_season_modeling.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,22.633812457221083,2025-2026,2025.0,30000000.0,17.216707939626428,,,,,,,,
data/processed/player_season_modeling.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,21.869952087611225,2024-2025,2024.0,7500000.0,15.830413578506539,,,,,,,,
data/processed/player_season_modeling.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,22.46132785763176,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
data/processed/player_season_modeling.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,21.29226557152635,2024-2025,2024.0,3000000.0,14.914122846632385,,,,,,,,
data/processed/player_season_modeling.parquet,Nicolò Savona,Nicolò Savona,708072.0,Juventus,Serie A,DF,DEF,21.585215605749486,2024-2025,2024.0,7000000.0,15.761420707019587,,,,,,,,
data/processed/player_season_modeling_advanced.parquet,Nicolò Savona,Nicolò Savona,708072.0,Nottingham Forest,Premier League,DF,DEF,22.72689938398357,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
data/processed/player_season_modeling_advanced.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,22.633812457221083,2025-2026,2025.0,30000000.0,17.216707939626428,,,,,,,,
data/processed/player_season_modeling_advanced.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,21.869952087611225,2024-2025,2024.0,7500000.0,15.830413578506539,,,,,,,,
data/processed/player_season_modeling_advanced.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,22.46132785763176,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
data/processed/player_season_modeling_advanced.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,21.29226557152635,2024-2025,2024.0,3000000.0,14.914122846632385,,,,,,,,
data/processed/player_season_modeling_advanced.parquet,Nicolò Savona,Nicolò Savona,708072.0,Juventus,Serie A,DF,DEF,21.585215605749486,2024-2025,2024.0,7000000.0,15.761420707019587,,,,,,,,
data/processed/player_season_modeling_advanced_v13a.parquet,Nicolò Savona,Nicolò Savona,708072.0,Nottingham Forest,Premier League,DF,DEF,22.72689938398357,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
data/processed/player_season_modeling_advanced_v13a.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,22.633812457221083,2025-2026,2025.0,30000000.0,17.216707939626428,,,,,,,,
data/processed/player_season_modeling_advanced_v13a.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,21.869952087611225,2024-2025,2024.0,7500000.0,15.830413578506539,,,,,,,,
data/processed/player_season_modeling_advanced_v13a.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,22.46132785763176,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
data/processed/player_season_modeling_advanced_v13a.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,21.29226557152635,2024-2025,2024.0,3000000.0,14.914122846632385,,,,,,,,
data/processed/player_season_modeling_advanced_v13a.parquet,Nicolò Savona,Nicolò Savona,708072.0,Juventus,Serie A,DF,DEF,21.585215605749486,2024-2025,2024.0,7000000.0,15.761420707019587,,,,,,,,
data/processed/player_season_modeling_growth.parquet,Nicolò Savona,Nicolò Savona,708072.0,Juventus,Serie A,DF,DEF,21.585215605749486,2024-2025,2024.0,7000000.0,15.761420707019587,,,,,,,,
data/processed/player_season_modeling_growth.parquet,Nicolò Savona,Nicolò Savona,708072.0,Nottingham Forest,Premier League,DF,DEF,22.72689938398357,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
data/processed/player_season_modeling_growth.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,21.869952087611225,2024-2025,2024.0,7500000.0,15.830413578506539,,,,,,,,
data/processed/player_season_modeling_growth.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,22.633812457221083,2025-2026,2025.0,30000000.0,17.216707939626428,,,,,,,,
data/processed/player_season_modeling_growth.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,21.29226557152635,2024-2025,2024.0,3000000.0,14.914122846632385,,,,,,,,
data/processed/player_season_modeling_growth.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,22.46132785763176,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
data/processed/player_season_modeling_growth_v13a.parquet,Nicolò Savona,Nicolò Savona,708072.0,Juventus,Serie A,DF,DEF,21.585215605749486,2024-2025,2024.0,7000000.0,15.761420707019587,,,,,,,,
data/processed/player_season_modeling_growth_v13a.parquet,Nicolò Savona,Nicolò Savona,708072.0,Nottingham Forest,Premier League,DF,DEF,22.72689938398357,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
data/processed/player_season_modeling_growth_v13a.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,21.869952087611225,2024-2025,2024.0,7500000.0,15.830413578506539,,,,,,,,
data/processed/player_season_modeling_growth_v13a.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,22.633812457221083,2025-2026,2025.0,30000000.0,17.216707939626428,,,,,,,,
data/processed/player_season_modeling_growth_v13a.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,21.29226557152635,2024-2025,2024.0,3000000.0,14.914122846632385,,,,,,,,
data/processed/player_season_modeling_growth_v13a.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,22.46132785763176,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
data/processed/player_season_modeling_indices.parquet,Nicolò Savona,Nicolò Savona,708072.0,Juventus,Serie A,DF,DEF,21.585215605749486,2024-2025,2024.0,7000000.0,15.761420707019587,,,,,,,,
data/processed/player_season_modeling_indices.parquet,Nicolò Savona,Nicolò Savona,708072.0,Nottingham Forest,Premier League,DF,DEF,22.72689938398357,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
data/processed/player_season_modeling_indices.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,21.869952087611225,2024-2025,2024.0,7500000.0,15.830413578506539,,,,,,,,
data/processed/player_season_modeling_indices.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,22.633812457221083,2025-2026,2025.0,30000000.0,17.216707939626428,,,,,,,,
data/processed/player_season_modeling_indices.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,21.29226557152635,2024-2025,2024.0,3000000.0,14.914122846632385,,,,,,,,
data/processed/player_season_modeling_indices.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,22.46132785763176,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
data/processed/player_season_modeling_indices_v13a.parquet,Nicolò Savona,Nicolò Savona,708072.0,Juventus,Serie A,DF,DEF,21.585215605749486,2024-2025,2024.0,7000000.0,15.761420707019587,,,,,,,,
data/processed/player_season_modeling_indices_v13a.parquet,Nicolò Savona,Nicolò Savona,708072.0,Nottingham Forest,Premier League,DF,DEF,22.72689938398357,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
