player_name_fbref,season,league,club,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,inefficiency_score,matching_confidence
João Pedro,2023-2024,Premier League,Brighton,DEF,21.3,2045,500000.0,58637674.07121894,58137674.07121894,4.764524572809032,1.0
Antony,2022-2023,Premier League,Manchester Utd,ATT,21.8,1802,600000.0,23300751.173749246,22700751.173749246,3.6593112230346794,1.0
Kamory Doumbia,2021-2022,Ligue 1,Reims,MID,19.3,352,1000000.0,10611882.44595174,9611882.44595174,2.3619743587501105,1.0
Nuno Lima,2022-2023,Liga Portugal,Paços de Ferreira,DEF,22.3,2445,500000.0,4935888.520191905,4435888.520191905,2.289679881857724,1.0
Siriné Doucouré,2023-2024,Ligue 1,Lorient,ATT,22.2,423,1000000.0,9781026.729779642,8781026.729779642,2.280444461131495,1.0
Jérémy Sebas,2023-2024,Ligue 1,Strasbourg,ATT,21.1,399,500000.0,4656380.6119383015,4156380.6119383015,2.231385634198338,1.0
Andrew Omobamidele,2021-2022,Premier League,Norwich City,DEF,20.0,382,1200000.0,10477623.38932182,9277623.38932182,2.166920320553345,1.0
Diego López,2022-2023,LaLiga,Valencia,ATT,21.1,447,1500000.0,12826147.161585579,11326147.161585579,2.1460207262456183,1.0
Kike Salas,2022-2023,LaLiga,Sevilla,DEF,21.1,368,1000000.0,8424209.471362658,7424209.471362658,2.1311096405437286,1.0
Yanis Hamache,2020-2021,Liga Portugal,Boavista,DEF,21.9,1206,600000.0,4434600.782164272,3834600.782164272,2.000263220180372,1.0
Tanguy Coulibaly,2022-2023,Bundesliga,Stuttgart,ATT,22.3,326,2500000.0,17878942.59146486,15378942.591464859,1.9673328969426045,1.0
Marc Pubill,2021-2022,LaLiga,Levante,DEF,19.0,512,800000.0,5671517.210100354,4871517.210100354,1.9586002188148584,1.0
Soichiro Kozuki,2022-2023,Bundesliga,Schalke 04,MID,22.5,379,600000.0,4220302.684007218,3620302.684007218,1.9507324753097812,1.0
Kelyan Guessoum,2020-2021,Ligue 1,Nîmes,DEF,22.3,1128,500000.0,3270024.61047568,2770024.61047568,1.8779446915801383,1.0
Florian Flick,2020-2021,Bundesliga,Schalke 04,MID,21.1,360,700000.0,4381331.345849488,3681331.345849488,1.8340275823801413,1.0
Ricardinho,2021-2022,Liga Portugal,Santa Clara,ATT,20.7,2159,900000.0,5606343.568200098,4706343.568200098,1.8292592523234692,1.0
Melle Meulensteen,2020-2021,Eredivisie,RKC Waalwijk,MID,21.9,2945,600000.0,3659221.7989492025,3059221.7989492025,1.8080761253338178,1.0
Miguel Atienza,2020-2021,LaLiga,Eibar,MID,22.0,838,600000.0,3639069.309780221,3039069.309780221,1.8025535885955684,1.0
Julian Baas,2022-2023,Eredivisie,Excelsior,MID,21.2,2457,800000.0,4767246.017694241,3967246.0176942414,1.7849123346999267,1.0
Amadou Koné,2023-2024,Ligue 1,Reims,MID,19.1,475,500000.0,2969361.6713042976,2469361.6713042976,1.7814941847879933,1.0
Arthur Atta,2023-2024,Ligue 1,Metz,MID,21.4,924,1000000.0,5931079.049201623,4931079.049201623,1.7802061609083246,1.0
Nigel Thomas,2022-2023,Liga Portugal,Paços de Ferreira,ATT,22.4,2027,700000.0,4143706.284492381,3443706.284492381,1.7782655690896902,1.0
Dara O'Shea,2020-2021,Premier League,West Brom,DEF,22.3,2102,3000000.0,17757757.711322315,14757757.711322315,1.7782101859319681,1.0
Kamory Doumbia,2023-2024,Ligue 1,Brest,MID,21.3,879,5000000.0,29236743.666817915,24236743.666817915,1.7659883505419547,1.0
Kévin Keben,2023-2024,Ligue 1,Toulouse,DEF,20.4,521,500000.0,2872606.5089831525,2372606.5089831525,1.748366989458626,1.0
Lucas Mincarelli,2023-2024,Ligue 1,Montpellier,DEF,20.4,978,1000000.0,5646812.429634474,4646812.429634474,1.7310912142074777,1.0
Nathan Tjoe-A-On,2022-2023,Eredivisie,Excelsior,DEF,21.5,2275,500000.0,2813204.312154261,2313204.312154261,1.727471338839397,1.0
Yellu Santiago,2023-2024,LaLiga,Getafe,MID,20.0,656,1000000.0,5623170.482669699,4623170.482669699,1.7268956476606494,1.0
Papa Amadou Diallo,2023-2024,Ligue 1,Metz,ATT,19.9,889,1000000.0,5511314.601844584,4511314.601844584,1.7068031794347984,1.0
Noah Fadiga,2021-2022,Eredivisie,Heracles Almelo,DEF,22.5,2706,550000.0,2972118.268145545,2422118.268145545,1.6871119209464016,1.0
Nadir Zortea,2021-2022,Serie A,Salernitana,DEF,23.0,1410,1400000.0,7562993.098818614,6162993.098818614,1.6867947877596823,1.0
Dango Ouattara,2021-2022,Ligue 1,Lorient,ATT,20.3,812,900000.0,4835798.006934526,3935798.0069345264,1.6814066789140778,1.0
Bart van Rooij,2021-2022,Eredivisie,NEC Nijmegen,DEF,21.0,2970,800000.0,4289058.53776332,3489058.53776332,1.6792108051035228,1.0
Lincoln,2021-2022,Liga Portugal,Santa Clara,ATT,21.5,2746,1700000.0,9065850.2181061,7365850.2181061,1.673886380043383,1.0
Javi Martínez,2020-2021,LaLiga,Osasuna,MID,21.5,460,1200000.0,6264267.331852939,5064267.331852939,1.6525400784827617,1.0
Rodrigo Conceição,2021-2022,Liga Portugal,Moreirense,DEF,22.4,383,500000.0,2601796.281460998,2101796.281460998,1.6493492645263963,1.0
Valentin Gendrey,2022-2023,Serie A,Lecce,DEF,23.0,3101,4000000.0,20171424.448362496,16171424.448362496,1.6179726104826244,1.0
Bernardo Vital,2021-2022,Liga Portugal,Estoril,DEF,21.4,1389,500000.0,2520646.6269578594,2020646.6269578594,1.6176626471667923,1.0
Dani Gómez,2020-2021,LaLiga,Levante,ATT,22.9,1666,1500000.0,7556232.697049165,6056232.697049165,1.6169076373842124,1.0
Mads Roerslev,2021-2022,Premier League,Brentford,DEF,23.0,1240,2500000.0,12497459.48652779,9997459.48652779,1.6092346507000563,1.0
Javi López,2021-2022,LaLiga,Alavés,DEF,20.2,462,700000.0,3487775.509031024,2787775.509031024,1.6059390869712704,1.0
Couhaib Driouech,2022-2023,Eredivisie,Excelsior,ATT,21.2,2342,650000.0,3214862.4019920863,2564862.4019920863,1.5985674741078508,1.0
Daam Foulon,2020-2021,Serie A,Benevento,DEF,22.2,1021,1000000.0,4943494.789213666,3943494.7892136658,1.5980725282862576,1.0
Jessic Ngankam,2021-2022,Bundesliga,Greuther Fürth,ATT,21.9,341,2000000.0,9835174.710605172,7835174.710605172,1.5928180352926073,1.0
Thijs Oosting,2020-2021,Eredivisie,RKC Waalwijk,MID,21.0,1167,600000.0,2908622.8650402646,2308622.8650402646,1.5785053506807305,1.0
Sambou Soumano,2021-2022,Ligue 1,Lorient,ATT,21.4,447,1200000.0,5633461.801283209,4433461.801283209,1.5464025811684508,1.0
Issouf Sissokho,2021-2022,Ligue 1,Bordeaux,MID,20.3,436,500000.0,2342410.8985945075,1842410.8985945075,1.5443278780809493,1.0
Antony,2023-2024,Premier League,Manchester Utd,ATT,22.8,1324,2500000.0,11682608.386294376,9182608.386294376,1.5418105413379415,1.0
Sadibou Sané,2023-2024,Ligue 1,Metz,DEF,20.0,846,800000.0,3722057.5565205333,2922057.5565205333,1.537420173283735,1.0
Nathan Tella,2020-2021,Premier League,Southampton,ATT,21.9,745,2000000.0,9088749.817665787,7088749.817665787,1.5138901843606565,1.0
Diego Moreno,2022-2023,LaLiga,Osasuna,DEF,22.0,638,800000.0,3627742.570760004,2827742.570760004,1.5117541248092348,1.0
Habib Keita,2023-2024,Ligue 1,Clermont Foot,MID,22.3,1278,1000000.0,4526998.610951749,3526998.6109517487,1.510059161617404,1.0
Pablo,2022-2023,Liga Portugal,Famalicão,ATT,19.5,707,500000.0,2244890.2528342125,1744890.2528342125,1.5018038154074471,1.0
Fodé Doucouré,2020-2021,Ligue 1,Reims,DEF,20.3,333,500000.0,2229724.8249303056,1729724.8249303056,1.4950253615257107,1.0
Bruno Amione,2022-2023,Serie A,Sampdoria,DEF,21.4,2086,2700000.0,12033111.359647999,9333111.359647999,1.4944103569236535,1.0
Patrick Osterhage,2021-2022,Bundesliga,Bochum,MID,22.4,599,900000.0,3970238.6413118495,3070238.6413118495,1.484186719711996,1.0
Oussama El Azzouzi,2023-2024,Serie A,Bologna,MID,23.0,547,2500000.0,10987826.99251306,8487826.99251306,1.4804972911050527,1.0
Sam Greenwood,2022-2023,Premier League,Leeds United,MID,21.4,424,5000000.0,21908307.54617361,16908307.54617361,1.477427992465051,1.0
Fabian Kunze,2020-2021,Bundesliga,Arminia,MID,23.0,1270,1000000.0,4356842.085150313,3356842.0851503126,1.4717475025377649,1.0
Antoine Mendy,2022-2023,Ligue 1,Nice,DEF,19.1,518,1000000.0,4343930.2394749485,3343930.2394749485,1.4687795234499585,1.0
Evert Linthorst,2020-2021,Eredivisie,VVV-Venlo,MID,21.2,1312,500000.0,2167996.9297462828,1667996.9297462828,1.466950847967654,1.0
Amadou Traore,2020-2021,Ligue 1,Bordeaux,ATT,19.2,304,800000.0,3424763.5351038715,2624763.5351038715,1.454175979799384,1.0
Williot Swedberg,2023-2024,LaLiga,Celta Vigo,ATT,20.3,439,5000000.0,21218912.570135146,16218912.570135146,1.4454549739219171,1.0
Simon Asta,2021-2022,Bundesliga,Greuther Fürth,DEF,21.4,783,900000.0,3801778.9685143726,2901778.9685143726,1.4408296224513713,1.0
Yassin Oukili,2022-2023,Eredivisie,RKC Waalwijk,MID,22.5,1847,600000.0,2528521.0543324794,1928521.0543324794,1.4384601920766116,1.0
Zach Booth,2023-2024,Eredivisie,Volendam,ATT,20.3,1558,500000.0,2098198.240031365,1598198.2400313648,1.434226176075569,1.0
Shawn Adewoye,2022-2023,Eredivisie,RKC Waalwijk,DEF,23.0,2931,900000.0,3775042.4089294663,2875042.4089294663,1.4337721324492119,1.0
Renato Veiga,2022-2023,Bundesliga,Augsburg,DEF,19.9,639,1000000.0,4181834.275485276,3181834.275485276,1.430749972168929,1.0
Deroy Duarte,2021-2022,Eredivisie,Fortuna Sittard,MID,22.9,2703,750000.0,3132827.7868082547,2382827.7868082547,1.4296181154065195,1.0
Ringo Meerveld,2021-2022,Eredivisie,Willem II,MID,19.5,537,500000.0,2080017.983388972,1580017.983388972,1.42552372009588,1.0
Casper Widell,2023-2024,Eredivisie,Excelsior,DEF,21.1,2326,700000.0,2895263.293291369,2195263.293291369,1.4197509984245364,1.0
Gonçalo Franco,2020-2021,Liga Portugal,Moreirense,MID,20.5,1049,600000.0,2481569.8984601363,1881569.8984601363,1.4197170072406102,1.0
Maximilian Bauer,2021-2022,Bundesliga,Greuther Fürth,DEF,22.3,1690,1600000.0,6610587.719172447,5010587.719172447,1.4186689343070977,1.0
Moussa Soumano,2022-2023,Ligue 1,Ajaccio,ATT,18.0,495,900000.0,3713842.922610824,2813842.922610824,1.417427684374303,1.0
Bart van Rooij,2022-2023,Eredivisie,NEC Nijmegen,DEF,22.1,2970,900000.0,3711585.5639745607,2811585.5639745607,1.4168196767125547,1.0
Reinier,2022-2023,LaLiga,Girona,MID,21.4,647,2000000.0,8238130.872171824,6238130.872171824,1.4156263017288033,1.0
Melle Meulensteen,2021-2022,Eredivisie,RKC Waalwijk,MID,22.9,2880,800000.0,3279164.3537258026,2479164.3537258026,1.4107321710452716,1.0
Ché Nunnely,2020-2021,Eredivisie,Willem II,ATT,22.3,2171,900000.0,3668188.8617572184,2768188.8617572184,1.4050585577552148,1.0
Tom Lacoux,2021-2022,Ligue 1,Bordeaux,MID,20.3,907,800000.0,3247242.693990373,2447242.693990373,1.4009497857102051,1.0
Jesse Bosch,2020-2021,Eredivisie,Twente,MID,21.3,2239,600000.0,2434159.4277852005,1834159.4277852005,1.4004271165088706,1.0
Matteo Ahlinvi,2020-2021,Ligue 1,Nîmes,MID,21.9,899,1000000.0,4043141.762510668,3043141.762510668,1.397022053736885,1.0
Taichi Fukui,2023-2024,Liga Portugal,Portimonense,MID,19.9,596,700000.0,2803917.496472365,2103917.496472365,1.3876924891662004,1.0
Tobias Raschl,2021-2022,Bundesliga,Greuther Fürth,MID,22.3,597,1000000.0,4002272.955490248,3002272.955490248,1.3868624386058794,1.0
Anselmo García MacNulty,2023-2024,Eredivisie,Zwolle,DEF,21.3,2508,1000000.0,3969420.8831186164,2969420.8831186164,1.3786202107886893,1.0
Niccolò Zanellato,2020-2021,Serie A,Crotone,MID,22.9,1637,1800000.0,7103459.857477849,5303459.857477849,1.3727953043212988,1.0
Lazar Samardzic,2021-2022,Serie A,Udinese,MID,20.3,490,3500000.0,13802033.474212088,10302033.474212088,1.372052966016149,1.0
Daan Dierckx,2020-2021,Serie A,Parma,DEF,18.3,471,1000000.0,3932473.8404256683,2932473.8404256683,1.3692687037795803,1.0
Marcos Peña,2023-2024,LaLiga,Almería,MID,19.4,441,1000000.0,3922449.9047968728,2922449.9047968728,1.366716434299871,1.0
Denilho Cleonise,2023-2024,Eredivisie,RKC Waalwijk,ATT,22.5,1800,550000.0,2153574.8544781017,1603574.8544781017,1.3649661851147261,1.0
Giacomo Quagliata,2021-2022,Eredivisie,Heracles Almelo,DEF,22.3,2544,800000.0,3123284.904146326,2323284.904146326,1.3620288531667164,1.0
Tomás Ribeiro,2020-2021,Liga Portugal,B-SAD,DEF,22.1,2805,1500000.0,5829108.914628164,4329108.914628164,1.3573990357400554,1.0
Nathan Tella,2021-2022,Premier League,Southampton,ATT,22.9,804,1800000.0,6945087.870509579,5145087.870509579,1.3502479635653408,1.0
Marvin Cuni,2023-2024,Serie A,Frosinone,ATT,22.9,534,900000.0,3472146.0765904076,2572146.0765904076,1.3501333843215892,1.0
Filippo Terracciano,2022-2023,Serie A,Hellas Verona,DEF,20.3,821,1500000.0,5773709.65166174,4273709.65166174,1.3478496863922498,1.0
Calvin Twigt,2023-2024,Eredivisie,Volendam,MID,21.3,2047,650000.0,2465072.5121202134,1815072.5121202134,1.3330041398360741,1.0
Nahuel Ferraresi,2020-2021,Liga Portugal,Moreirense,DEF,22.5,1933,1000000.0,3779662.3682788494,2779662.3682788494,1.329634685081027,1.0
Hugo Álvarez,2023-2024,LaLiga,Celta Vigo,ATT,20.9,762,1500000.0,5666213.524119393,4166213.524119393,1.329055977750592,1.0
Kenzo Goudmijn,2022-2023,Eredivisie,Excelsior,MID,21.5,2804,1300000.0,4831871.055861747,3531871.055861747,1.3128695103498842,1.0
Kanya Fujimoto,2020-2021,Liga Portugal,Gil Vicente FC,MID,21.9,987,700000.0,2587923.3691752665,1887923.3691752665,1.3075307100830749,1.0
Alioune Ndour,2021-2022,Liga Portugal,B-SAD,ATT,21.2,829,500000.0,1840132.549383437,1340132.549383437,1.3029847872946387,1.0
Pedro Pelágio,2021-2022,Liga Portugal,Marítimo,MID,22.1,997,500000.0,1832623.7722461917,1332623.7722461917,1.298895875893276,1.0
Ilario Monterisi,2023-2024,Serie A,Frosinone,DEF,22.5,1469,2800000.0,10145956.630220149,7345956.630220149,1.2874558473849298,1.0
Julian Baas,2023-2024,Eredivisie,Excelsior,MID,22.1,2882,1300000.0,4708695.491722596,3408695.491722596,1.2870466395347702,1.0
Ramon Hendriks,2023-2024,Eredivisie,Vitesse,DEF,22.9,2645,800000.0,2883378.686194968,2083378.686194968,1.282106312782357,1.0
Gonçalo Franco,2021-2022,Liga Portugal,Moreirense,MID,21.5,1145,500000.0,1784096.5851877565,1284096.5851877565,1.2720593529314996,1.0
Marc Pubill,2023-2024,LaLiga,Almería,DEF,21.0,1883,4000000.0,14202971.064334627,10202971.064334627,1.2671568114845257,1.0
Stije Resink,2023-2024,Eredivisie,Almere City,MID,21.0,2578,1000000.0,3540325.8664449924,2540325.8664449924,1.2642187755771737,1.0
João Ferreira,2021-2022,Liga Portugal,Vitória Guimarães,DEF,21.2,985,700000.0,2464536.7078189016,1764536.7078189016,1.258678785622429,1.0
José Fontán,2020-2021,LaLiga,Celta Vigo,DEF,21.4,652,1000000.0,3517276.187763483,2517276.187763483,1.2576868797698175,1.0
Clément Vidal,2022-2023,Ligue 1,Ajaccio,DEF,23.0,1901,1800000.0,6317590.060544505,4517590.060544505,1.2555511510017698,1.0
Roberto Piccoli,2020-2021,Serie A,Spezia,ATT,20.3,703,3000000.0,10471693.039172033,7471693.039172033,1.2500634269785493,1.0
Jarrad Branthwaite,2021-2022,Premier League,Everton,DEF,20.0,388,3000000.0,10448471.551246738,7448471.551246738,1.2478434160066385,1.0
Mahdi Camara,2020-2021,Ligue 1,Saint-Étienne,MID,22.9,3290,5000000.0,17369399.226536375,12369399.226536375,1.2452720803777328,1.0
Daniël van Kaam,2022-2023,Eredivisie,Cambuur,MID,23.0,2308,700000.0,2421244.153672202,1721244.153672202,1.2409564650841585,1.0
Antoine Mendy,2023-2024,Ligue 1,Nice,DEF,20.0,418,800000.0,2766188.560171344,1966188.5601713439,1.2406139529387339,1.0
Ole Romeny,2022-2023,Eredivisie,Emmen,ATT,23.0,2497,1300000.0,4490150.1805946715,3190150.1805946715,1.2395218845212206,1.0
Deroy Duarte,2020-2021,Eredivisie,Sparta Rotterdam,MID,21.9,1656,900000.0,3093995.4726247927,2193995.4726247927,1.2348238045318674,1.0
Sven Mijnans,2020-2021,Eredivisie,Sparta Rotterdam,MID,21.2,1665,700000.0,2401620.5207096506,1701620.5207096506,1.2328186703985757,1.0
Pablo Marín,2022-2023,LaLiga,Real Sociedad,MID,19.9,360,1000000.0,3415106.4705677666,2415106.4705677666,1.2282086698625978,1.0
Cyril Ngonge,2020-2021,Eredivisie,RKC Waalwijk,ATT,21.0,1170,700000.0,2389676.0407728367,1689676.0407728367,1.2278327529009267,1.0
Amine Salama,2022-2023,Ligue 1,Angers,ATT,22.9,1249,1500000.0,5111877.391784123,3611877.391784123,1.2261016242866614,1.0
Wilinton Aponzá,2021-2022,Liga Portugal,Portimonense,ATT,22.2,744,500000.0,1689668.4199077655,1189668.4199077655,1.2176794890069385,1.0
Hélio Varela,2023-2024,Liga Portugal,Portimonense,ATT,22.1,2743,2500000.0,8398686.860889252,5898686.860889252,1.2117846356703037,1.0
Derrick Köhn,2020-2021,Eredivisie,Willem II,DEF,22.3,2559,800000.0,2687408.5534793134,1887408.5534793134,1.2117209175767236,1.0
Therence Koudou,2023-2024,Ligue 1,Reims,DEF,19.5,314,800000.0,2684372.745550144,1884372.745550144,1.2105906376627171,1.0
Yorbe Vertessen,2020-2021,Eredivisie,PSV,ATT,20.4,508,950000.0,3183029.5496028294,2233029.5496028294,1.2091267262142633,1.0
Daishawn Redan,2021-2022,Eredivisie,Zwolle,ATT,21.3,2040,1000000.0,3320208.5742890593,2320208.5742890593,1.2000276045361211,1.0
Nassim Boujellab,2020-2021,Bundesliga,Schalke 04,MID,22.0,605,1200000.0,3968690.535021083,2768690.535021083,1.1961146434508851,1.0
Giacomo Quagliata,2020-2021,Eredivisie,Heracles Almelo,DEF,21.2,2057,700000.0,2310399.608671066,1610399.608671066,1.1940954442779521,1.0
Alexis Flips,2021-2022,Ligue 1,Reims,MID,22.4,1056,2500000.0,8240555.648600833,5740555.648600833,1.192777042856342,1.0
Adam Idah,2021-2022,Premier League,Norwich City,ATT,21.3,625,3000000.0,9846481.565970026,6846481.565970026,1.1885019012798992,1.0
Tom Lacoux,2020-2021,Ligue 1,Bordeaux,MID,19.4,523,800000.0,2624752.545106098,1824752.545106098,1.1881301743832289,1.0
Yayah Kallon,2022-2023,Serie A,Hellas Verona,ATT,22.0,860,1500000.0,4919576.102700142,3419576.102700142,1.187757260696463,1.0
Immanuel Pherai,2020-2021,Eredivisie,Zwolle,MID,20.1,1593,700000.0,2293575.3367115287,1593575.3367115287,1.1867868263773964,1.0
Mika Biereth,2022-2023,Eredivisie,RKC Waalwijk,ATT,20.4,307,500000.0,1635932.796265295,1135932.796265295,1.1853603398193258,1.0
Youri Baas,2023-2024,Eredivisie,NEC Nijmegen,DEF,21.2,1719,1000000.0,3230398.8430740642,2230398.8430740642,1.1726056104393194,1.0
Martin Adeline,2021-2022,Ligue 1,Reims,MID,18.5,352,800000.0,2571478.8719833456,1771478.8719833456,1.167624721290597,1.0
Sven Mijnans,2021-2022,Eredivisie,Sparta Rotterdam,MID,22.2,1889,850000.0,2711901.6261641853,1861901.6261641853,1.1601690253797443,1.0
Cole Palmer,2023-2024,Premier League,Chelsea,MID,22.1,2607,80000000.0,253705097.5149029,173705097.5149029,1.1541459244173318,1.0
Pedro Malheiro,2021-2022,Liga Portugal,Boavista,DEF,21.4,891,500000.0,1577146.3973187422,1077146.3973187422,1.1487643170278012,1.0
Luca de la Torre,2020-2021,Eredivisie,Heracles Almelo,MID,23.0,2379,800000.0,2492431.770535145,1692431.770535145,1.1364023998857284,1.0
Moïse Sahi Dion,2023-2024,Ligue 1,Strasbourg,ATT,22.5,628,2000000.0,6199739.982168425,4199739.982168425,1.131360172251732,1.0
Joaquín Pereyra,2020-2021,Liga Portugal,Famalicão,MID,22.5,734,500000.0,1540144.8494412329,1040144.8494412329,1.1250236506410225,1.0
Mio Backhaus,2023-2024,Eredivisie,Volendam,GK,20.1,2881,1000000.0,3071568.260999093,2071568.2609990928,1.1221882653693918,1.0
Wilson Odobert,2023-2024,Premier League,Burnley,ATT,19.5,2098,10000000.0,30691980.21663488,20691980.21663488,1.1214162967439094,1.0
Bernardo Vital,2022-2023,Liga Portugal,Estoril,DEF,22.5,2259,1300000.0,3976967.9659676813,2676967.9659676813,1.1181554469023087,1.0
Víctor Chust,2021-2022,LaLiga,Cádiz,DEF,22.2,1830,2500000.0,7610609.058663558,5110609.058663558,1.1132524707868452,1.0
Alessandro Sorrentino,2023-2024,Serie A,Monza,GK,22.2,548,800000.0,2433935.830840082,1633935.830840082,1.1126531818673016,1.0
Ian Poveda,2020-2021,Premier League,Leeds United,ATT,21.3,355,1500000.0,4553437.242093656,3053437.242093656,1.1104172774779482,1.0
Alex Bangura,2021-2022,Eredivisie,Cambuur,DEF,22.9,2413,900000.0,2724670.1490837005,1824670.1490837005,1.107707890238533,1.0
Dean Huiberts,2020-2021,Eredivisie,Zwolle,MID,21.0,1999,600000.0,1813276.6101379879,1213276.6101379879,1.1059611143025627,1.0
Kamory Doumbia,2022-2023,Ligue 1,Reims,MID,20.4,1155,2500000.0,7524068.588449299,5024068.588449299,1.101816295478594,1.0
Félix Correia,2022-2023,Liga Portugal,Marítimo,ATT,22.4,757,1200000.0,3590359.392795774,2390359.392795774,1.0959307501094848,1.0
Batista Mendy,2021-2022,Ligue 1,Angers,MID,22.4,2413,3000000.0,8942818.738851689,5942818.738851689,1.0922385459958015,1.0
Calvin Twigt,2022-2023,Eredivisie,Volendam,MID,20.4,1297,650000.0,1932877.531292521,1282877.531292521,1.089792757504755,1.0
Ramiz Zerrouki,2020-2021,Eredivisie,Twente,MID,23.0,1951,600000.0,1781422.6502789366,1181422.6502789366,1.088237910576133,1.0
Ben Johnson,2020-2021,Premier League,West Ham United,DEF,21.4,523,3000000.0,8897149.684197657,5897149.684197657,1.0871186765732226,1.0
Óscar Aranda,2023-2024,Liga Portugal,Famalicão,ATT,22.1,717,500000.0,1478172.775532087,978172.7755320871,1.0839538944488112,1.0
Jon Pacheco,2021-2022,LaLiga,Real Sociedad,DEF,21.5,381,1000000.0,2955413.384120158,1955413.384120158,1.0836385341772026,1.0
Pablo Moreno,2022-2023,Liga Portugal,Marítimo,ATT,21.1,891,700000.0,2052143.8164938837,1352143.8164938837,1.07555995480201,1.0
Hugo Magnetti,2020-2021,Ligue 1,Brest,MID,23.0,603,700000.0,2049016.86515612,1349016.86515612,1.0740350440821285,1.0
Daan Rots,2021-2022,Eredivisie,Twente,ATT,20.9,1706,800000.0,2341501.413465595,1541501.4134655949,1.073935904613652,1.0
Papa Ndiaga Yade,2020-2021,Ligue 1,Metz,ATT,21.4,1001,3000000.0,8760493.23285705,5760493.23285705,1.0716399198157838,1.0
Bilal Brahimi,2021-2022,Ligue 1,Angers,ATT,22.2,338,900000.0,2624650.199088901,1724650.1990889008,1.0703081453319019,1.0
Sekou Mara,2021-2022,Ligue 1,Bordeaux,ATT,19.8,905,3000000.0,8732471.952494074,5732471.952494074,1.0684361971726268,1.0
Salis Abdul Samed,2021-2022,Ligue 1,Clermont Foot,MID,22.2,2462,3000000.0,8722339.969833363,5722339.969833363,1.0672752584190306,1.0
Carlos Dominguez,2021-2022,LaLiga,Celta Vigo,DEF,21.4,344,1000000.0,2904901.890172532,1904901.8901725318,1.0663996169874466,1.0
Yanis Hamache,2021-2022,Liga Portugal,Boavista,DEF,22.9,1842,2000000.0,5785825.8585394975,3785825.8585394975,1.0622639285033095,1.0
Joe Gelhardt,2021-2022,Premier League,Leeds United,ATT,20.1,746,6000000.0,17314426.20870288,11314426.20870288,1.0597805696829514,1.0
Samuel Lino,2020-2021,Liga Portugal,Gil Vicente FC,ATT,21.4,2012,2000000.0,5724158.9767078785,3724158.9767078785,1.0515484544571514,1.0
Faride Alidou,2023-2024,Bundesliga,Köln,ATT,22.9,1282,2500000.0,7142826.7566099195,4642826.7566099195,1.0498178704150174,1.0
Trevoh Chalobah,2020-2021,Ligue 1,Lorient,DEF,21.9,2237,3500000.0,9988168.90707778,6488168.90707778,1.048638314780149,1.0
Jeremy Antonisse,2023-2024,Liga Portugal,Moreirense,ATT,22.2,548,500000.0,1423766.7121110386,923766.7121110386,1.0464531543641034,1.0
Pedro Malheiro,2022-2023,Liga Portugal,Boavista,DEF,22.4,2787,3000000.0,8511494.56039679,5511494.5603967905,1.042805262515504,1.0
Filippo Melegoni,2020-2021,Serie A,Genoa,MID,22.3,389,900000.0,2537537.1197027694,1637537.1197027694,1.0365544883730298,1.0
Telasco Segovia,2023-2024,Liga Portugal,Casa Pia,MID,21.2,746,700000.0,1968177.918496419,1268177.918496419,1.0337831442224914,1.0
Tanguy Zoukrou,2022-2023,Ligue 1,Troyes,DEF,20.1,511,1000000.0,2810338.970564106,1810338.970564106,1.033305106164418,1.0
Kevin Paredes,2022-2023,Bundesliga,Wolfsburg,MID,20.1,529,5000000.0,13947050.607985388,8947050.607985388,1.0258301475287883,1.0
Frederik Winther,2021-2022,Bundesliga,Augsburg,DEF,21.4,328,1000000.0,2773025.9635097412,1773025.9635097412,1.0199391295576206,1.0
Alberto Soro,2020-2021,LaLiga,Granada,ATT,22.3,393,3000000.0,8319053.762485528,5319053.762485528,1.0199362292267171,1.0
Kaiky,2023-2024,LaLiga,Almería,DEF,20.4,523,2000000.0,5539689.176312331,3539689.176312331,1.018791213266498,1.0
Delano Burgzorg,2020-2021,Eredivisie,Heracles Almelo,ATT,22.5,2043,750000.0,2075365.0379335873,1325365.0379335873,1.0178191325577046,1.0
Kanya Fujimoto,2021-2022,Liga Portugal,Gil Vicente FC,MID,22.9,2394,2000000.0,5431143.566720291,3431143.566720291,0.9990025328184409,1.0
Tomáš Suslov,2023-2024,Serie A,Hellas Verona,MID,22.0,2092,7000000.0,18988042.91549164,11988042.91549164,0.9978993117687462,1.0
Jakub Kiwior,2021-2022,Serie A,Spezia,DEF,22.3,1964,3000000.0,8086069.722867862,5086069.722867862,0.9915305051781296,1.0
Jakob Breum,2023-2024,Eredivisie,Go Ahead Eagles,MID,20.5,1450,1000000.0,2692510.3273935206,1692510.3273935206,0.9904739656561006,1.0
Antoine Joujou,2023-2024,Ligue 1,Le Havre,ATT,21.2,779,1500000.0,4030350.26272669,2530350.26272669,0.9883881779016015,1.0
Ibrahim Sulemana,2022-2023,Serie A,Hellas Verona,MID,20.1,651,1500000.0,4011895.711144229,2511895.711144229,0.9837987674224191,1.0
Ricardinho,2022-2023,Liga Portugal,Santa Clara,ATT,22.1,1803,1200000.0,3199253.032581999,1999253.032581999,0.9805957984452043,1.0
Junior Kadile,2022-2023,Liga Portugal,Famalicão,ATT,20.5,662,600000.0,1595241.5378399158,995241.5378399158,0.9778507829201626,1.0
